Player IGN,A or B Finals?,League Selection,Finals - Team Comp - Uma 1 - Name,Finals - Team Comp - Uma 1 - Running Style,Finals - Team Comp - Uma 1 - Role,Finals - Team Comp - Uma 2 - Name,Finals - Team Comp - Uma 2 - Running Style,Finals - Team Comp - Uma 2 - Role,Finals - Team Comp - Uma 3 - Name,Finals - Team Comp - Uma 3 - Running Style,Finals - Team Comp - Uma 3 - Role,,Finals - Winner - Own uma or Opponent's uma?,Finals - Winner - Running Style,Finals - Winner - Name,,|,Finals result?,,,Uma1,Uma2,Uma3
JohnnyZB,A Finals,Graded (No Uma Restrictions),Narita Taishin,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Mejiro McQueen,Pace Chaser,Unity Cup Scenario Ace,,,,,,|,3rd,,,Narita Taishin - End Closer,Gold Ship - End Closer,Mejiro McQueen - Pace Chaser
Nanahara,A Finals,Graded (No Uma Restrictions),Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,,,,,,|,1st,,,Oguri Cap - Pace Chaser,Narita Taishin - End Closer,Mayano Top Gun - End Closer
Nana,A Finals,Graded (No Uma Restrictions),Oguri Cap,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,,,,,,|,3rd,,,Oguri Cap - End Closer,Gold Ship - End Closer,Mayano Top Gun - End Closer
Holic,A Finals,Graded (No Uma Restrictions),Mejiro Ryan,Pace Chaser,Unity Cup Scenario Ace,Eishin Flash,Late Surger,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,Winner = Opponent's uma,End Closer,Hishi Amazon,,|,3rd,,,Mejiro Ryan - Pace Chaser,Eishin Flash - Late Surger,Narita Taishin - End Closer
Ketsura,A Finals,Graded (No Uma Restrictions),Daiwa Scarlet,Pace Chaser,Sacrifice to overtake,Oguri Cap,Pace Chaser,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,,,,,|,1st,,,Daiwa Scarlet - Pace Chaser,Oguri Cap - Pace Chaser,Narita Taishin - End Closer
Sparky,A Finals,Graded (No Uma Restrictions),Narita Taishin,End Closer,Unity Cup Scenario Ace,Narita Brian,End Closer,Unity Cup Scenario Ace,Special Week (Summer),End Closer,Unity Cup Scenario Ace,,,,,,|,1st,,,Narita Taishin - End Closer,Narita Brian - End Closer,Special Week (Summer) - End Closer
veee,A Finals,Graded (No Uma Restrictions),Narita Taishin,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,,,,,,|,2nd,,,Narita Taishin - End Closer,Mayano Top Gun - End Closer,Gold Ship - End Closer
Mattipus,A Finals,Graded (No Uma Restrictions),Manhattan Cafe,End Closer,Unity Cup Scenario Ace,Agnes Tachyon,Pace Chaser,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,,,,,,|,1st,,,Manhattan Cafe - End Closer,Agnes Tachyon - Pace Chaser,Gold Ship - End Closer
Mitty,A Finals,Graded (No Uma Restrictions),Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Hishi Amazon,End Closer,Unity Cup Scenario Ace,,,,,,|,1st,,,Gold Ship - End Closer,Mayano Top Gun - End Closer,Hishi Amazon - End Closer
Soff,A Finals,Graded (No Uma Restrictions),Narita Taishin,End Closer,Unity Cup Scenario Ace,Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,,Winner = Opponent's uma,End Closer,Gold Ship,,|,3rd,,,Narita Taishin - End Closer,Gold Ship - End Closer,Mayano Top Gun - End Closer
Bucketmun,A Finals,Graded (No Uma Restrictions),Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,,Winner = Opponent's uma,Late Surger,Meisho Doto,,|,2nd,,,Gold Ship - End Closer,Mayano Top Gun - End Closer,Narita Taishin - End Closer
Monikun123,A Finals,Graded (No Uma Restrictions),Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Mejiro McQueen,Pace Chaser,Unity Cup Scenario Ace,,,,,,|,1st,,,Gold Ship - End Closer,Mayano Top Gun - End Closer,Mejiro McQueen - Pace Chaser
Tori,A Finals,Graded (No Uma Restrictions),Gold Ship,End Closer,URA Scenario Ace,Nice Nature,Late Surger,Debuffer,Air Groove,Pace Chaser,Debuffer,,,,,,|,2nd,,,Gold Ship - End Closer,Nice Nature - Late Surger,Air Groove - Pace Chaser
Ephemeral,A Finals,Graded (No Uma Restrictions),Gold Ship,End Closer,Unity Cup Scenario Ace,Narita Taishin,End Closer,Unity Cup Scenario Ace,Special Week (Summer),End Closer,Unity Cup Scenario Ace,,Winner = Opponent's uma,End Closer,Gold Ship,,|,2nd,,,Gold Ship - End Closer,Narita Taishin - End Closer,Special Week (Summer) - End Closer
EmoticonFather,A Finals,Graded (No Uma Restrictions),Gold Ship,End Closer,Unity Cup Scenario Ace,Mayano Top Gun,End Closer,Unity Cup Scenario Ace,Manhattan Cafe,End Closer,Unity Cup Scenario Ace,,Winner = Own uma,End Closer,Gold Ship,,|,1st,,,Gold Ship - End Closer,Mayano Top Gun - End Closer,Manhattan Cafe - End Closer
Lucharizard,A Finals,Graded (No Uma Restrictions),Eishin Flash,Late Surger,Unity Cup Scenario Ace,Gold City (Festival),Late Surger,URA Scenario Ace,Narita Brian,Late Surger,Unity Cup Scenario Ace,,,,,,|,1st,,,Eishin Flash - Late Surger,Gold City (Festival) - Late Surger,Narita Brian - Late Surger
